Program,Description,Subject Areas,Impact Score,Earning Potential,Bachelors,Masters,PhD
Accounting,"Study of financial records, taxation, auditing, and accounting principles for businesses and organizations.","Financial Accounting, Managerial Accounting, Taxation, Auditing, Cost Accounting",3,8,True,True,False
Advertising,"Study of creative and strategic approaches to promoting products, services, or ideas.","Copywriting, Art Direction, Media Planning, Consumer Behavior, Advertising Campaigns",2,6,True,True,False
Aerospace Engineering,"Design, development, and testing of aircraft, spacecraft, and related systems.","Aerodynamics, Propulsion, Structures, Avionics, Flight Mechanics",6,9,True,True,True
Anthropology,"Study of human cultures, societies, and their development over time.","Cultural Anthropology, Archaeology, Linguistic Anthropology, Biological Anthropology",5,5,True,True,True
Applied Mathematics,Study of mathematical methods and techniques for solving real-world problems.,"Numerical Analysis, Operations Research, Mathematical Modeling, Optimization Techniques, Computational Mathematics",5,6,True,True,True
Arabic Studies,"Study of the Arabic language, literature, culture, and history.","Arabic Language, Arabic Literature, Middle Eastern Studies, Islamic Studies, Translation Studies",4,5,True,True,False
Archaeology,Study of past human societies through the analysis of material remains and artifacts.,"Field Methods, Artifact Analysis, Cultural Resource Management, Zooarchaeology, Bioarchaeology",6,5,True,True,True
Architecture,"Design and planning of buildings and other structures, with a focus on functionality and aesthetics.","Architectural Design, Building Technology, History of Architecture, Urban Planning",7,8,True,True,False
Art Education,"Study of teaching methods, curriculum development, and assessment practices in art education.","Art Pedagogy, Curriculum Design, Classroom Management, Art Therapy, Museum Education",4,6,True,True,False
Art History,"Study of visual arts, artists, and artistic movements throughout history.","Art Theory, Art Criticism, Art Conservation, Museum Studies",3,5,True,True,True
Astrophysics,Study of the physical processes that govern the behavior of celestial objects and the universe.,"Stellar Astrophysics, Galactic Astrophysics, Cosmology, Planetary Sciences, Observational Astronomy",8,7,True,True,True
Athletic Training,"Study of prevention, evaluation, treatment, and rehabilitation of athletic injuries.","Anatomy and Physiology, Exercise Science, Injury Assessment, Therapeutic Modalities, Rehabilitation Techniques",5,6,True,True,False
Biochemistry,Study of chemical processes within living organisms and their applications in various fields.,"Molecular Biology, Genetics, Enzymology, Metabolism, Structural Biology",8,8,True,True,True
Bioinformatics,Study of the application of computer science and information technology to biological data and processes.,"Genomics, Proteomics, Computational Biology, Biostatistics, Machine Learning in Biology",7,8,True,True,True
Biomedical Engineering,Application of engineering principles and design concepts to medicine and healthcare.,"Biomaterials, Biomechanics, Biomedical Imaging, Tissue Engineering, Medical Devices",8,9,True,True,True
Biotechnology,Study of the manipulation of living organisms or biological systems for various applications.,"Molecular Biology, Genetic Engineering, Bioprocessing, Biomanufacturing, Bioethics",8,8,True,True,True
Business Administration,"Study of management principles, marketing, finance, and operations within organizations.","Management, Marketing, Finance, Operations Management, Human Resources",4,9,True,True,True
Chemistry,"Study of the properties, composition, structure, and behavior of matter.","Organic Chemistry, Inorganic Chemistry, Analytical Chemistry, Physical Chemistry, Biochemistry",7,7,True,True,True
Civil Engineering,"Design, construction, and maintenance of infrastructure projects such as buildings, roads, and bridges.","Structural Engineering, Transportation Engineering, Construction Management, Environmental Engineering, Geotechnical Engineering",7,8,True,True,True
Classics,"Study of ancient Greek and Roman civilizations, including their languages, literature, and culture.","Ancient Greek, Latin, Classical Literature, Classical History, Classical Archaeology",4,5,True,True,True
Cognitive Science,"Interdisciplinary study of the mind, intelligence, and cognition from various perspectives.","Cognitive Psychology, Neuroscience, Artificial Intelligence, Linguistics, Philosophy of Mind",6,6,True,True,True
Communication Studies,"Study of various forms of communication, including media, rhetoric, and interpersonal communication.","Media Studies, Journalism, Public Relations, Advertising, Speech Communication",4,6,True,True,True
Computer Engineering,"Study of the design, development, and integration of computer hardware and software systems.","Digital Systems Design, Embedded Systems, Computer Architecture, Operating Systems, Computer Networks",6,9,True,True,True
Computer Science,"Study of computing principles, software development, and information systems.","Programming Languages, Algorithms, Data Structures, Computer Architecture, Information Security",6,9,True,True,True
Construction Management,Study of managing construction projects from planning to completion.,"Project Management, Construction Methods, Cost Estimation, Scheduling, Construction Law and Contracts",6,8,True,True,False
Counseling Psychology,Study of psychological theories and practices for providing counseling and therapy.,"Counseling Theories, Group Counseling, Psychotherapy Techniques, Assessment and Testing, Career Counseling",6,7,False,True,True
Creative Writing,"Study of various genres of creative writing, including fiction, poetry, and creative non-fiction.","Fiction Writing, Poetry Writing, Scriptwriting, Literary Techniques, Writing Workshops",3,5,True,True,False
